metric_key,title,canonical_value,observed_value,artifact_path,line_number,source_tier,status,severity,action_type,notes
expanded_complete_case_n,Expanded complete-case denominator drift,3269,523,outputs/manuscript_forensics_20260318/final_manuscript_dataset_provenance.json,77.0,forensics_json,inconsistent,high,analysis/output regeneration,"Forensics JSON reports 523 complete cases, but frozen expanded ordinal analysis uses 3,269."
expanded_complete_case_n,Expanded complete-case denominator drift,3269,3269,studies/proposal2_ete_staging/analysis_metadata.yaml,95.0,canonical_analysis,inconsistent,high,analysis/output regeneration,"Forensics JSON reports 523 complete cases, but frozen expanded ordinal analysis uses 3,269."
psm_or,PSM structural OR drift,1.4339,1.3044,manuscripts/ete_ajcc8_202603/revision_rerun_20260326/table6_propensity_matching_effect_rerun.csv,2.0,sensitivity_rerun,inconsistent,high,analysis/output regeneration,Frozen table and rerun disagree materially on OR.
psm_or,PSM structural OR drift,1.4339,1.4339,studies/proposal2_ete_staging/audit_tables/table6_propensity_matching_effect.csv,2.0,canonical_analysis,inconsistent,high,analysis/output regeneration,Frozen table and rerun disagree materially on OR.
psm_p,PSM p-value drift,0.030,0.132,manuscripts/ete_ajcc8_202603/revision_rerun_20260326/table6_propensity_matching_effect_rerun.csv,2.0,sensitivity_rerun,inconsistent,high,analysis/output regeneration,Frozen and rerun p-values disagree on statistical significance.
psm_p,PSM p-value drift,0.030,0.03,studies/proposal2_ete_staging/audit_tables/table6_propensity_matching_effect.csv,2.0,canonical_analysis,inconsistent,high,analysis/output regeneration,Frozen and rerun p-values disagree on statistical significance.
psm_pairs,PSM matched-pair drift,711,PARTIAL (503 pairs),docs/manuscript_forensics_20260318/final_metric_crosswalk.csv,9.0,forensics_crosswalk,inconsistent,high,analysis/output regeneration,"Frozen canonical value is 711 pairs; rerun gives 712, crosswalk gives 503, forensics JSON gives 1006."
psm_pairs,PSM matched-pair drift,711,711,manuscripts/ete_ajcc8_202603/ETE_submission_package_UPDATED_3_26/02_Manuscript_Main_Blinded.docx,5.0,submission_package,inconsistent,high,analysis/output regeneration,"Frozen canonical value is 711 pairs; rerun gives 712, crosswalk gives 503, forensics JSON gives 1006."
psm_pairs,PSM matched-pair drift,711,712,manuscripts/ete_ajcc8_202603/ETE_submission_package_UPDATED_3_26/04_Supplementary_Materials.docx,13.0,submission_package,inconsistent,high,analysis/output regeneration,"Frozen canonical value is 711 pairs; rerun gives 712, crosswalk gives 503, forensics JSON gives 1006."
psm_pairs,PSM matched-pair drift,711,711,manuscripts/ete_ajcc8_202603/MANUSCRIPT_REVISION_PACKET_20260326.md,45.0,revision_packet,inconsistent,high,analysis/output regeneration,"Frozen canonical value is 711 pairs; rerun gives 712, crosswalk gives 503, forensics JSON gives 1006."
psm_pairs,PSM matched-pair drift,711,712,manuscripts/ete_ajcc8_202603/revision_rerun_20260326/table6_propensity_matching_effect_rerun.csv,2.0,sensitivity_rerun,inconsistent,high,analysis/output regeneration,"Frozen canonical value is 711 pairs; rerun gives 712, crosswalk gives 503, forensics JSON gives 1006."
psm_pairs,PSM matched-pair drift,711,1006,outputs/manuscript_forensics_20260318/final_manuscript_dataset_provenance.json,79.0,forensics_json,inconsistent,high,analysis/output regeneration,"Frozen canonical value is 711 pairs; rerun gives 712, crosswalk gives 503, forensics JSON gives 1006."
psm_pairs,PSM matched-pair drift,711,711,studies/proposal2_ete_staging/audit_tables/table6_propensity_matching_effect.csv,2.0,canonical_analysis,inconsistent,high,analysis/output regeneration,"Frozen canonical value is 711 pairs; rerun gives 712, crosswalk gives 503, forensics JSON gives 1006."
classic_total_n,Classic cohort 596 versus deduplicated 589,596,596,outputs/manuscript_forensics_20260318/final_manuscript_dataset_provenance.json,63.0,forensics_json,consistent,medium,manuscript text edit only,Use 596 for frozen classic export unless explicitly footnoting the deduplicated 589 count.
classic_total_n,Classic cohort 596 versus deduplicated 589,596,596,studies/proposal2_ete_staging/analysis_metadata.yaml,20.0,canonical_analysis,consistent,medium,manuscript text edit only,Use 596 for frozen classic export unless explicitly footnoting the deduplicated 589 count.
ct_all_rows,Institutional CT exam count should not enter manuscript text,7701,7701,manuscripts/ete_ajcc8_202603/MANUSCRIPT_REVISION_PACKET_20260326.md,175.0,forensics_export,attention,medium,manuscript text edit only,"7701 is a provenance export row count, not a manuscript-facing cohort denominator."
tumor1_centric_wording,Tumor-1-centric exposure definition must stay explicit,present,present,manuscripts/ete_ajcc8_202603/MANUSCRIPT_REVISION_PACKET_20260326.md,83.0,revision_packet,attention,medium,manuscript text edit only,Methods should keep tumor_1 field language and avoid implying whole-specimen multi-tumor capture.
figure_format,Figure format mismatch: Figure_1_Cohort_Flow.png,PNG,JPEG,manuscripts/ete_ajcc8_202603/ETE_submission_package_UPDATED_3_26/Figure_1_Cohort_Flow.png,,submission_package,attention,low,analysis/output regeneration,File encoding does not match extension. This is not a numeric discrepancy but could affect submission packaging.
figure_format,Figure format mismatch: Figure_2_PSM_DFS.png,PNG,JPEG,manuscripts/ete_ajcc8_202603/ETE_submission_package_UPDATED_3_26/Figure_2_PSM_DFS.png,,submission_package,attention,low,analysis/output regeneration,File encoding does not match extension. This is not a numeric discrepancy but could affect submission packaging.
figure_format,Figure format mismatch: Figure_3_Forest_Plot.png,PNG,JPEG,manuscripts/ete_ajcc8_202603/ETE_submission_package_UPDATED_3_26/Figure_3_Forest_Plot.png,,submission_package,attention,low,analysis/output regeneration,File encoding does not match extension. This is not a numeric discrepancy but could affect submission packaging.
figure_format,Figure format mismatch: Figure_4_Stage_Migration.png,PNG,JPEG,manuscripts/ete_ajcc8_202603/ETE_submission_package_UPDATED_3_26/Figure_4_Stage_Migration.png,,submission_package,attention,low,analysis/output regeneration,File encoding does not match extension. This is not a numeric discrepancy but could affect submission packaging.
figure_format,Figure format mismatch: Figure_S1_ETE_Distribution.png,PNG,JPEG,manuscripts/ete_ajcc8_202603/ETE_submission_package_UPDATED_3_26/Figure_S1_ETE_Distribution.png,,submission_package,attention,low,analysis/output regeneration,File encoding does not match extension. This is not a numeric discrepancy but could affect submission packaging.
figure_format,Figure format mismatch: Figure_S2_Risk_Band_by_ETE.png,PNG,JPEG,manuscripts/ete_ajcc8_202603/ETE_submission_package_UPDATED_3_26/Figure_S2_Risk_Band_by_ETE.png,,submission_package,attention,low,analysis/output regeneration,File encoding does not match extension. This is not a numeric discrepancy but could affect submission packaging.
figure_format,Figure format mismatch: Figure_S4_Tg_Trajectory.png,PNG,JPEG,manuscripts/ete_ajcc8_202603/ETE_submission_package_UPDATED_3_26/Figure_S4_Tg_Trajectory.png,,submission_package,attention,low,analysis/output regeneration,File encoding does not match extension. This is not a numeric discrepancy but could affect submission packaging.
