table_catalog,table_schema,table_name,table_type,n_columns,columns_preview,inventory_class,columns_preview_600
thyroid_canonical_publication_v1_0,main,clinical_note_ln_extracted_v1,BASE TABLE,30,"data_source_layer, extraction_phase, source_note_type, note_row_id, research_id, note_date, source_workbook, source_sheet, original_llm_model, entity_index, entity_type, entity_value, entity_date, date_confidence, date_source_keyword, present_or_negated, confidence, evidence_text, source_line, evidence_source_modality, modality_classification_method, ln_level, laterality, size_cm, count_positive, count_total_examined, ln_status, extranodal_extension, extraction_status, extraction_error",LN_ANALOG_TABLE,"data_source_layer, extraction_phase, source_note_type, note_row_id, research_id, note_date, source_workbook, source_sheet, original_llm_model, entity_index, entity_type, entity_value, entity_date, date_confidence, date_source_keyword, present_or_negated, confidence, evidence_text, source_line, evidence_source_modality, modality_classification_method, ln_level, laterality, size_cm, count_positive, count_total_examined, ln_status, extranodal_extension, extraction_status, extraction_error"
thyroid_canonical_publication_v1_0,main,canonical_us_thyroid_gland_v2,BASE TABLE,32,"research_id, us_exam_id, exam_date, rl_length_cm, rl_width_cm, rl_depth_cm, rl_volume_ml, ll_length_cm, ll_width_cm, ll_depth_cm, ll_volume_ml, isthmus_thickness_mm, pyramidal_present_flag, substernal_extension_flag, total_thyroid_volume_ml, total_thyroid_size_text, background_echogenicity, heterogeneity, hashimoto_pattern, vascularity_overall, calcifications_parenchymal, goiter_flag, clinical_impression_text, source_us_impression_text, recommendation_text, radiologist, study_indication, source_ultrasound_reports, source_us_nodules_tirads, nlp_backfill_pending, extracted_at, build_script",RAW_OR_CANONICAL_US_SOURCE,"research_id, us_exam_id, exam_date, rl_length_cm, rl_width_cm, rl_depth_cm, rl_volume_ml, ll_length_cm, ll_width_cm, ll_depth_cm, ll_volume_ml, isthmus_thickness_mm, pyramidal_present_flag, substernal_extension_flag, total_thyroid_volume_ml, total_thyroid_size_text, background_echogenicity, heterogeneity, hashimoto_pattern, vascularity_overall, calcifications_parenchymal, goiter_flag, clinical_impression_text, source_us_impression_text, recommendation_text, radiologist, study_indication, source_ultrasound_reports, source_us_nodules_tirads, nlp_backfill_pending, extracted_at, build_script"
thyroid_canonical_publication_v1_0,main,clinical_notes_long,BASE TABLE,11,"excel_row_0based, research_id, note_type, note_index, note_text, source_sheet, source_column, source_workbook, ingest_sheet_spec, ingest_script_version, ingested_at_utc",RAW_OR_CANONICAL_US_SOURCE,"excel_row_0based, research_id, note_type, note_index, note_text, source_sheet, source_column, source_workbook, ingest_sheet_spec, ingest_script_version, ingested_at_utc"
thyroid_canonical_publication_v1_0,raw,ultrasound_reports,BASE TABLE,223,"research_id, us_report_number, sheet_name, ultrasound_date, radiologist, equipment, study_indication, patient_age, patient_gender, report_type, number_of_nodules, right_lobe_dimensions, left_lobe_dimensions, isthmus_thickness, total_thyroid_size, right_lobe_volume_ml, left_lobe_volume_ml, total_thyroid_volume_ml, source_us_impression, nodule_1_dimensions, nodule_1_length_mm, nodule_1_width_mm, nodule_1_height_mm, nodule_1_volume, nodule_1_location, nodule_1_ti_rads, nodule_1_composition, nodule_1_echogenicity, nodule_1_calcifications, nodule_1_margins, nodule_1_shape, nodule_1_source_score, nodule_1_source_description, nodule_2_dimensions, nodule_2_length_mm, nodule_2_width_mm, nodule_2_height_mm, nodule_2_volume, nodule_2_location, nodule_2_ti_rads, nodule_2_composition, nodule_2_echogenicity, nodule_2_calcifications, nodule_2_margins, nodule_2_shape, nodule_2_source_score, nodule_2_source_description, nodule_3_dimensions, nodule_3_length_mm, nodule_3_width_mm, nodule_3_height_mm, nodule_3_volume, nodule_3_location, nodule_3_ti_rads, nodule_3_composition, nodule_3_echogenicity, nodule_3_calcifications, nodule_3_margins, nodule_3_shape, nodule_3_source_score, nodule_3_source_description, nodule_4_dimensions, nodule_4_length_mm, nodule_4_width_mm, nodule_4_height_mm, nodule_4_volume, nodule_4_location, nodule_4_ti_rads, nodule_4_composition, nodule_4_echogenicity, nodule_4_calcifications, nodule_4_margins, nodule_4_shape, nodule_4_source_score, nodule_4_source_description, nodule_5_dimensions, nodule_5_length_mm, nodule_5_width_mm, nodule_5_height_mm, nodule_5_volume, nodule_5_location, nodule_5_ti_rads, nodule_5_composition, nodule_5_echogenicity, nodule_5_calcifications, nodule_5_margins, nodule_5_shape, nodule_5_source_score, nodule_5_source_description, nodule_6_dimensions, nodule_6_length_mm, nodule_6_width_mm, nodule_6_height_mm, nodule_6_volume, nodule_6_location, nodule_6_ti_rads, nodule_6_composition, nodule_6_echogenicity, nodule_6_calcifications, nodule_6_margins, nodule_6_shape, nodule_6_source_score, nodule_6_source_description, nodule_7_dimensions, nodule_7_length_mm, nodule_7_width_mm, nodule_7_height_mm, nodule_7_volume, nodule_7_location, nodule_7_ti_rads, nodule_7_composition, nodule_7_echogenicity, nodule_7_calcifications, nodule_7_margins, nodule_7_shape, nodule_7_source_score, nodule_7_source_description, nodule_8_dimensions, nodule_8_length_mm, nodule_8_width_mm, nodule_8_height_mm, nodule_8_volume, nodule_8_location, nodule_8_ti_rads, nodule_8_composition, nodule_8_echogenicity, nodule_8_calcifications, nodule_8_margins, nodule_8_shape, nodule_8_source_score, nodule_8_source_description, nodule_9_dimensions, nodule_9_length_mm, nodule_9_width_mm, nodule_9_height_mm, nodule_9_volume, nodule_9_location, nodule_9_ti_rads, nodule_9_composition, nodule_9_echogenicity, nodule_9_calcifications, nodule_9_margins, nodule_9_shape, nodule_9_source_score, nodule_9_source_description, nodule_10_dimensions, nodule_10_length_mm, nodule_10_width_mm, nodule_10_height_mm, nodule_10_volume, nodule_10_location, nodule_10_ti_rads, nodule_10_composition, nodule_10_echogenicity, nodule_10_calcifications, nodule_10_margins, nodule_10_shape, nodule_10_source_score, nodule_10_source_description, nodule_11_dimensions, nodule_11_length_mm, nodule_11_width_mm, nodule_11_height_mm, nodule_11_volume, nodule_11_location, nodule_11_ti_rads, nodule_11_composition, nodule_11_echogenicity, nodule_11_calcifications, nodule_11_margins, nodule_11_shape, nodule_11_source_score, nodule_11_source_description, nodule_12_dimensions, nodule_12_length_mm, nodule_12_width_mm, nodule_12_height_mm, nodule_12_volume, nodule_12_location, nodule_12_ti_rads, nodule_12_composition, nodule_12_echogenicity, nodule_12_calcifications, nodule_12_margins, nodule_12_shape, nodule_12_source_score, nodule_12_source_description, nodule_13_dimensions, nodule_13_length_mm, nodule_13_width_mm, nodule_13_height_mm, nodule_13_volume, nodule_13_location, nodule_13_ti_rads, nodule_13_composition, nodule_13_echogenicity, nodule_13_calcifications, nodule_13_margins, nodule_13_shape, nodule_13_source_score, nodule_13_source_description, nodule_14_dimensions, nodule_14_length_mm, nodule_14_width_mm, nodule_14_height_mm, nodule_14_volume, nodule_14_location, nodule_14_ti_rads, nodule_14_composition, nodule_14_echogenicity, nodule_14_calcifications, nodule_14_margins, nodule_14_shape, nodule_14_source_score, nodule_14_source_description, lymph_node_assessment, clinical_impression, recommendation, report_quality, source_workbook, ingest_sheet_spec, ingest_script_version, ingested_at_utc",RAW_OR_CANONICAL_US_SOURCE,"research_id, us_report_number, sheet_name, ultrasound_date, radiologist, equipment, study_indication, patient_age, patient_gender, report_type, number_of_nodules, right_lobe_dimensions, left_lobe_dimensions, isthmus_thickness, total_thyroid_size, right_lobe_volume_ml, left_lobe_volume_ml, total_thyroid_volume_ml, source_us_impression, nodule_1_dimensions, nodule_1_length_mm, nodule_1_width_mm, nodule_1_height_mm, nodule_1_volume, nodule_1_location, nodule_1_ti_rads, nodule_1_composition, nodule_1_echogenicity, nodule_1_calcifications, nodule_1_margins, nodule_1_shape, nodule_1_source_score, no"
thyroid_canonical_publication_v1_0,raw,us_nodules_tirads,BASE TABLE,36,"research_id, us_1_date, us_1, us_1_impression, nodule_1, n1_tr, nodule_2, n2_tr, nodule_3, n3_tr, nodule_4, n4_tr, nodule_5, n5_tr, nodule_6, n6_tr, nodule_7, n7_tr, nodule_8, n8_tr, nodule_9, n9_tr, nodule_10, n10_tr, n11, n11_tr, n12, n12_tr, n13, n13_tr, n14, n14_tr, source_workbook, ingest_sheet_spec, ingest_script_version, ingested_at_utc",RAW_OR_CANONICAL_US_SOURCE,"research_id, us_1_date, us_1, us_1_impression, nodule_1, n1_tr, nodule_2, n2_tr, nodule_3, n3_tr, nodule_4, n4_tr, nodule_5, n5_tr, nodule_6, n6_tr, nodule_7, n7_tr, nodule_8, n8_tr, nodule_9, n9_tr, nodule_10, n10_tr, n11, n11_tr, n12, n12_tr, n13, n13_tr, n14, n14_tr, source_workbook, ingest_sheet_spec, ingest_script_version, ingested_at_utc"
thyroid_canonical_publication_v1_0,views_readable,US_Nodules_TIRADS,VIEW,36,"research_id, us_1_date, us_1, us_1_impression, nodule_1, n1_tr, nodule_2, n2_tr, nodule_3, n3_tr, nodule_4, n4_tr, nodule_5, n5_tr, nodule_6, n6_tr, nodule_7, n7_tr, nodule_8, n8_tr, nodule_9, n9_tr, nodule_10, n10_tr, n11, n11_tr, n12, n12_tr, n13, n13_tr, n14, n14_tr, source_workbook, ingest_sheet_spec, ingest_script_version, ingested_at_utc",RAW_OR_CANONICAL_US_SOURCE,"research_id, us_1_date, us_1, us_1_impression, nodule_1, n1_tr, nodule_2, n2_tr, nodule_3, n3_tr, nodule_4, n4_tr, nodule_5, n5_tr, nodule_6, n6_tr, nodule_7, n7_tr, nodule_8, n8_tr, nodule_9, n9_tr, nodule_10, n10_tr, n11, n11_tr, n12, n12_tr, n13, n13_tr, n14, n14_tr, source_workbook, ingest_sheet_spec, ingest_script_version, ingested_at_utc"
thyroid_canonical_publication_v1_0,main,note_entities_llm_cervical_ln_detail,BASE TABLE,17,"note_row_id, domain, llm_model, llm_base_url, extracted_at, result_json, research_id, note_type, note_date, linkage_date, source_workbook, source_sheet, source_column, note_index, preprocess_batch_id, preprocessed_at_utc, preprocess_script_version",LLM_LN_SOURCE,"note_row_id, domain, llm_model, llm_base_url, extracted_at, result_json, research_id, note_type, note_date, linkage_date, source_workbook, source_sheet, source_column, note_index, preprocess_batch_id, preprocessed_at_utc, preprocess_script_version"
thyroid_canonical_publication_v1_0,main,note_entities_llm_tirads_granular,BASE TABLE,17,"note_row_id, domain, llm_model, llm_base_url, extracted_at, result_json, research_id, note_type, note_date, linkage_date, source_workbook, source_sheet, source_column, note_index, preprocess_batch_id, preprocessed_at_utc, preprocess_script_version",LLM_TIRADS_SOURCE,"note_row_id, domain, llm_model, llm_base_url, extracted_at, result_json, research_id, note_type, note_date, linkage_date, source_workbook, source_sheet, source_column, note_index, preprocess_batch_id, preprocessed_at_utc, preprocess_script_version"
thyroid_canonical_publication_v1_0,main,note_entities_llm_airway_invasion_v2,BASE TABLE,14,"note_row_id, research_id, note_type, note_index, source_workbook, source_sheet, source_column, parsed_json, raw_llm_response, error, extracted_at, llm_model, elapsed_s, build_ts",LLM_OTHER_DOMAIN,"note_row_id, research_id, note_type, note_index, source_workbook, source_sheet, source_column, parsed_json, raw_llm_response, error, extracted_at, llm_model, elapsed_s, build_ts"
thyroid_canonical_publication_v1_0,main,note_entities_llm_dynamic_risk_response,BASE TABLE,23,"note_row_id, research_id, note_type, note_date, domain, llm_model, llm_base_url, extracted_at, result_json, linkage_date, source_workbook, source_sheet, source_column, note_index, preprocess_batch_id, preprocessed_at_utc, preprocess_script_version, entity_domain, llm_provider, llm_sdk, llm_sdk_version, provider_returned_model, provider_system_fingerprint",LLM_OTHER_DOMAIN,"note_row_id, research_id, note_type, note_date, domain, llm_model, llm_base_url, extracted_at, result_json, linkage_date, source_workbook, source_sheet, source_column, note_index, preprocess_batch_id, preprocessed_at_utc, preprocess_script_version, entity_domain, llm_provider, llm_sdk, llm_sdk_version, provider_returned_model, provider_system_fingerprint"
