detail_table_name,wildcard_feed_col,like_pattern,expansion_count,kept_as_is,expanded_into,audit_tag
clinical_note_ln_extracted_v1,cnln_* columns,cnln_%,36,False,cnln_any_positive_any_modality;cnln_clin_any_positive;cnln_clin_avg_confidence;cnln_clin_n_entities;cnln_earliest_date;cnln_ene_any_modality;cnln_img_any_suspicious;cnln_img_avg_confidence;cnln_img_first_date;cnln_img_last_date;cnln_img_laterality;cnln_img_levels_mentioned;cnln_img_max_size_cm;cnln_img_n_entities;cnln_latest_date;cnln_modalities_present;cnln_n_modalities;cnln_novel_positive_flag;cnln_path_any_positive;cnln_path_ene_any;cnln_path_max_positive_count;cnln_path_n_entities;cnln_source_table;cnln_surg_any_positive;cnln_surg_avg_confidence;cnln_surg_bilateral;cnln_surg_ene_any;cnln_surg_first_date;cnln_surg_last_date;cnln_surg_levels_mentioned;cnln_surg_max_positive_count;cnln_surg_max_total_examined;cnln_surg_n_entities;cnln_surg_n_notes;cnln_surg_source_note_types;cnln_total_entities,wildcard_expansion_whitelist_cnln
complication_phenotype_v1,comp_*_confirmed,comp_%_confirmed,9,False,comp_chyle_leak_confirmed;comp_hematoma_confirmed;comp_hypocalcemia_confirmed;comp_hypoparathyroidism_confirmed;comp_rln_injury_confirmed;comp_seroma_confirmed;comp_vc_paralysis_confirmed;comp_vc_paresis_confirmed;comp_wound_infection_confirmed,wildcard_expansion
complication_phenotype_v1,comp_*_transient,comp_%_transient,9,False,comp_chyle_leak_transient;comp_hematoma_transient;comp_hypocalcemia_transient;comp_hypoparathyroidism_transient;comp_rln_injury_transient;comp_seroma_transient;comp_vc_paralysis_transient;comp_vc_paresis_transient;comp_wound_infection_transient,wildcard_expansion
complication_phenotype_v1,comp_*_permanent,comp_%_permanent,9,False,comp_chyle_leak_permanent;comp_hematoma_permanent;comp_hypocalcemia_permanent;comp_hypoparathyroidism_permanent;comp_rln_injury_permanent;comp_seroma_permanent;comp_vc_paralysis_permanent;comp_vc_paresis_permanent;comp_wound_infection_permanent,wildcard_expansion
complication_phenotype_v1,comp_*_days_postop,comp_%_days_postop,9,False,comp_chyle_leak_days_postop;comp_hematoma_days_postop;comp_hypocalcemia_days_postop;comp_hypoparathyroidism_days_postop;comp_rln_injury_days_postop;comp_seroma_days_postop;comp_vc_paralysis_days_postop;comp_vc_paresis_days_postop;comp_wound_infection_days_postop,wildcard_expansion
complication_phenotype_v1,comp_*_evidence_tier,comp_%_evidence_tier,9,False,comp_chyle_leak_evidence_tier;comp_hematoma_evidence_tier;comp_hypocalcemia_evidence_tier;comp_hypoparathyroidism_evidence_tier;comp_rln_injury_evidence_tier;comp_seroma_evidence_tier;comp_vc_paralysis_evidence_tier;comp_vc_paresis_evidence_tier;comp_wound_infection_evidence_tier,wildcard_expansion
note_entities_complications,comp_* upstream,comp_%,93,True,,guardrail_deferred_oversized
note_entities_llm_airway_invasion,nlp_airway_* columns,nlp_airway_%,4,False,nlp_airway_has_data;nlp_airway_key_finding;nlp_airway_n_entities;nlp_airway_n_notes,wildcard_expansion
note_entities_llm_cervical_ln_detail,cnln_* columns,cnln_%,36,True,,guardrail_deferred_oversized
note_entities_llm_dynamic_risk_response,nlp_dynrisk_* columns,nlp_dynrisk_%,4,False,nlp_dynrisk_has_data;nlp_dynrisk_key_finding;nlp_dynrisk_n_entities;nlp_dynrisk_n_notes,wildcard_expansion
