metric_name,canonical_value,numerator,denominator,denominator_population_label,source_table,sql_object_name,definition_notes,manuscript_safe_label,alternate_definition_exists,alternate_definition_notes
total_surgical_patients,10871,10871,10871,full_surgical_cohort,path_synoptics,COUNT(DISTINCT research_id) FROM path_synoptics,All patients with at least one path_synoptics row (primary surgical spine),"10,871 patients underwent thyroid surgery",N,
analysis_eligible_cancer_patients,4136,4136,10871,all_resolved_patients,patient_analysis_resolved_v1,COUNT(DISTINCT research_id) FROM patient_analysis_resolved_v1 WHERE analysis_eligible_flag IS TRUE,"Patients with cancer histology + complete staging data sufficient for analysis. Excludes benign-only, missing histology, and non-thyroid malignancy.","4,136 patients met analysis eligibility criteria (confirmed thyroid malignancy with complete staging)",N,
recurrence_count_any,1986,1986,10871,full_surgical_cohort,extracted_recurrence_refined_v1,COUNT(DISTINCT research_id) FROM extracted_recurrence_refined_v1 WHERE recurrence_any IS TRUE,"All recurrence events (structural confirmed=54, structural date unknown=1764, biochemical only=168). Includes patients identified via Tg trajectory (rising Tg >1.0 and >2x nadir).","1,986 patients (18.3%) experienced recurrence (structural or biochemical) among 10,871 surgical patients",Y,"recurrence_risk_features_mv.recurrence_flag reports 1,818 recurrences (excludes 168 biochemical-only events not in risk_mv). Use recurrence_risk_features_mv for structural recurrence; use extracted_recurrence_refined_v1 for all-type recurrence."
recurrence_count_structural,1818,1818,10871,full_surgical_cohort,extracted_recurrence_refined_v1,"detection_category IN ('structural_confirmed','structural_date_unknown')","Structural recurrence only. confirmed=54, date_unknown=1764. Matches recurrence_risk_features_mv.recurrence_flag count (1818).","1,818 patients experienced structural recurrence",N,
braf_positive_count,376,376,10025,molecular_tested_patients,extracted_braf_recovery_v1,COUNT(DISTINCT research_id) FROM extracted_braf_recovery_v1 WHERE braf_status = 'positive',BRAF positive after FP correction (structured + NLP-confirmed). Structured-only count: 266. NLP-recovered: 110. All NLP positives require explicit positive qualifier in note text.,"BRAF mutations were identified in 376 of 10,025 molecularly tested patients (3.8%)",Y,Structured-only (mol_ep.braf_flag): 266. Full cohort denominator: 376/10871 = 3.5%. Use molecular_tested denominator for prevalence.
ras_positive_count,292,292,10025,molecular_tested_patients,extracted_ras_patient_summary_v1,COUNT(DISTINCT research_id) FROM extracted_ras_patient_summary_v1 WHERE ras_positive IS TRUE,RAS positive (NRAS+HRAS+KRAS) from subtypes extraction + mutation text parsing + NLP-confirmed entities. ras_flag in mol_ep is FALSE for all rows (known bug); use extracted_ras_patient_summary_v1 exclusively.,"RAS mutations were identified in 292 of 10,025 molecularly tested patients (2.9%)",N,mol_ep.ras_flag is unreliable (all FALSE). Do not use.
molecular_tested_denominator,10025,10025,10871,full_surgical_cohort,extracted_molecular_panel_v1,COUNT(DISTINCT research_id) FROM extracted_molecular_panel_v1,"Patients with any molecular panel result in extracted_molecular_panel_v1. Includes ThyroSeq, Afirma, IHC, PCR, FISH.","Molecular testing was performed in 10,025 patients (92.2% of surgical cohort)",Y,molecular_test_episode_v2 has 10026 total patients (includes placeholder rows). Use extracted_molecular_panel_v1 for cleaned count.
rai_treated_strict,35,35,10871,full_surgical_cohort,extracted_rai_validated_v1,rai_validation_tier = 'confirmed_with_dose' FROM extracted_rai_validated_v1,STRICT definition: confirmed RAI receipt with documented dose. rai_assertion_status='likely_received' AND dose present. NOTE: 0 patients have 'definite_received' in rai_treatment_episode_v2; all 35 confirmed patients are 'likely_received' with dose verification.,35 patients received confirmed RAI therapy (dose-verified),Y,Broad: confirmed+unconfirmed_with_dose = 41. Any RAI signal (incl. ambiguous/negated): 862. Ambiguous-only: 749. CRITICAL: 'definite_received' tier is EMPTY (0 patients). The prior audit label 'definite/likely = 35' was misleading — all 35 are 'likely_received'.
rln_injury_confirmed,59,59,10871,full_surgical_cohort,extracted_rln_injury_refined_v2,COUNT(DISTINCT research_id) FROM extracted_rln_injury_refined_v2 WHERE rln_injury_is_confirmed IS TRUE,"3-tier refined RLN injury: Tier 1 (laryngoscopy-confirmed), Tier 2 (chart-documented), Tier 3 (NLP-confirmed with context filtering). Total refined: 92 (confirmed=59, suspected=33).",Confirmed RLN injury occurred in 59 patients (0.54%),Y,Including suspected: 92 (0.85%). Pre-refinement NLP: 654 (vastly inflated by consent boilerplate).
complication_any_confirmed,287,287,10871,full_surgical_cohort,patient_refined_complication_flags_v2,COUNT(DISTINCT research_id) FROM patient_refined_complication_flags_v2,Patients with at least one confirmed complication after NLP refinement. Per-entity: rln_injury=59; hematoma=38; hypoparathyroidism=34; seroma=28; chyle_leak=20; hypocalcemia=18; wound_infection=2. Sum of per-entity exceeds total because patients can have multiple complications.,Post-operative complications were confirmed in 287 patients (2.6%),N,Pre-refinement NLP was 3.3% precision. Only refined counts are manuscript-safe.
tirads_coverage,3474,3474,10871,full_surgical_cohort,extracted_tirads_validated_v1,COUNT(DISTINCT research_id) FROM extracted_tirads_validated_v1,Patients with validated TIRADS score from Phase 12 Excel ingestion + NLP + ACR recalculation. Data ceiling reached — remaining patients either lack pre-op US in system or had US at external facilities.,"Pre-operative TIRADS data was available for 3,474 patients (32.0%)",N,
