object_name,object_type,row_count,n_columns,n_distinct_research_id,is_empty,has_version_twin,twin_name,twin_is_higher_version,is_identical_to_twin,is_referenced_by_view,n_view_refs,is_referenced_by_script,n_script_refs,action,destination,reason
__readme,BASE TABLE,115,5,,False,False,,False,,False,0,True,26,LIVE,,referenced by 26 python ref(s)
_molecular_patient_rollup_v227,BASE TABLE,10025,3,10025,False,False,,False,,False,0,True,14,LIVE,,referenced by 14 python ref(s)
analysis_molecular_subset_v1,BASE TABLE,10025,126,10025,False,False,,False,,False,0,True,7,LIVE,,referenced by 7 python ref(s)
canonical_benign_diagnosis_v1,BASE TABLE,6818,18,6734,False,False,,False,,False,0,True,10,LIVE,,referenced by 10 python ref(s)
canonical_diagnosis_unified_v1,BASE TABLE,11028,7,10871,False,False,,False,,False,0,True,16,LIVE,,referenced by 16 python ref(s)
canonical_malignant_diagnosis_v1,BASE TABLE,4441,12,4137,False,False,,False,,False,0,True,10,LIVE,,referenced by 10 python ref(s)
canonical_molecular_tested_v1,BASE TABLE,1286,17,1286,False,False,,False,,False,0,True,20,LIVE,,referenced by 20 python ref(s)
canonical_patient_master,BASE TABLE,10871,1526,10871,False,False,,False,,True,41,True,100,LIVE,,referenced by 100 python ref(s) and 41 view ref(s)
canonical_recurrence_v1,BASE TABLE,10871,12,10871,False,False,,False,,False,0,True,16,LIVE,,referenced by 16 python ref(s)
canonical_survival_followup_v1,BASE TABLE,11504,13,11504,False,False,,False,,False,0,True,13,LIVE,,referenced by 13 python ref(s)
canonical_tumor_characteristics_v1,BASE TABLE,11106,50,8422,False,False,,False,,False,0,True,11,LIVE,,referenced by 11 python ref(s)
canonical_us_nodule_characteristics_v1,BASE TABLE,37016,39,6126,False,False,,False,,False,0,True,18,LIVE,,referenced by 18 python ref(s)
clinical_note_ln_extracted_v1,BASE TABLE,7751,30,3588,False,False,,False,,False,0,True,8,LIVE,,referenced by 8 python ref(s)
clinical_notes_long,BASE TABLE,11050,11,5593,False,False,,False,,False,0,True,87,LIVE,,referenced by 87 python ref(s)
complication_patient_summary_v1,BASE TABLE,2938,18,2938,False,False,,False,,False,0,True,21,LIVE,,referenced by 21 python ref(s)
complication_phenotype_v1,BASE TABLE,5978,29,2938,False,False,,False,,False,0,True,35,LIVE,,referenced by 35 python ref(s)
ct_imaging,BASE TABLE,7701,40,3086,False,False,,False,,False,0,True,40,LIVE,,referenced by 40 python ref(s)
data_dictionary_v266a,BASE TABLE,1590,14,,False,False,,False,,False,0,True,8,LIVE,,referenced by 8 python ref(s)
episode_analysis_resolved_v1_dedup,BASE TABLE,9368,46,9368,False,False,,False,,False,0,True,23,LIVE,,referenced by 23 python ref(s)
ete_adjudication_v1,BASE TABLE,45,8,45,False,False,,False,,False,0,True,15,LIVE,,referenced by 15 python ref(s)
extracted_braf_recovery_v1,BASE TABLE,730,7,376,False,False,,False,,False,0,True,24,LIVE,,referenced by 24 python ref(s)
extracted_complications_refined_v5,BASE TABLE,358,9,287,False,False,,False,,False,0,True,18,LIVE,,referenced by 18 python ref(s)
extracted_ete_subgraded_v1,BASE TABLE,3558,9,3558,False,False,,False,,False,0,True,15,LIVE,,referenced by 15 python ref(s)
extracted_fna_bethesda_v1,BASE TABLE,5249,15,5249,False,False,,False,,False,0,True,23,LIVE,,referenced by 23 python ref(s)
extracted_postop_labs_expanded_v1,BASE TABLE,1395,14,1051,False,False,,False,,False,0,True,20,LIVE,,referenced by 20 python ref(s)
extracted_ras_patient_summary_v1,BASE TABLE,321,7,321,False,False,,False,,False,0,True,21,LIVE,,referenced by 21 python ref(s)
extracted_rln_injury_refined_v2,BASE TABLE,92,12,92,False,False,,False,,False,0,True,24,LIVE,,referenced by 24 python ref(s)
extracted_tirads_validated_v1,BASE TABLE,3439,15,3439,False,False,,False,,False,0,True,31,LIVE,,referenced by 31 python ref(s)
fna_cytology,BASE TABLE,8063,27,5240,False,False,,False,,False,0,True,45,LIVE,,referenced by 45 python ref(s)
fna_episode_master_v2,BASE TABLE,8119,17,5266,False,False,,False,,False,0,True,90,LIVE,,referenced by 90 python ref(s)
fna_history,BASE TABLE,8119,10,5266,False,False,,False,,False,0,True,48,LIVE,,referenced by 48 python ref(s)
imaging_exam_master_v1,BASE TABLE,13347,10,6126,False,False,,False,,False,0,True,8,LIVE,,referenced by 8 python ref(s)
imaging_fna_linkage_v3,BASE TABLE,9911,20,1938,False,False,,False,,False,0,True,30,LIVE,,referenced by 30 python ref(s)
imaging_nodule_master_v1,BASE TABLE,37016,25,6126,False,False,,False,,True,1,True,64,LIVE,,referenced by 64 python ref(s) and 1 view ref(s)
imaging_patient_summary_v1,BASE TABLE,6126,13,6126,False,False,,False,,False,0,True,15,LIVE,,referenced by 15 python ref(s)
lab_cross_wave_dedup_map_v1,BASE TABLE,21761,9,1796,False,False,,False,,False,0,True,5,LIVE,,referenced by 5 python ref(s)
lesion_analysis_resolved_v1,BASE TABLE,11851,28,10871,False,False,,False,,False,0,True,13,LIVE,,referenced by 13 python ref(s)
ln_crossval_v1,BASE TABLE,4290,19,3986,False,False,,False,,False,0,True,7,LIVE,,referenced by 7 python ref(s)
ln_master_rollup_v1,BASE TABLE,4273,78,3986,False,False,,False,,False,0,True,16,LIVE,,referenced by 16 python ref(s)
longitudinal_lab_canonical_cancer_only_v1,VIEW,61374,21,3153,False,False,,False,,True,1,True,1,LIVE,,referenced by 1 python ref(s) and 1 view ref(s)
longitudinal_lab_canonical_v1,BASE TABLE,75247,21,3556,False,False,,False,,True,1,True,60,LIVE,,referenced by 60 python ref(s) and 1 view ref(s)
manuscript_cohort_v1,BASE TABLE,10871,151,10871,False,False,,False,,False,0,True,36,LIVE,,referenced by 36 python ref(s)
molecular_assay_dictionary,BASE TABLE,4,11,,False,False,,False,,False,0,True,13,LIVE,,referenced by 13 python ref(s)
molecular_code_crosswalk,BASE TABLE,44,6,,False,False,,False,,False,0,True,12,LIVE,,referenced by 12 python ref(s)
molecular_ingestion_runs,BASE TABLE,1,7,,False,False,,False,,False,0,True,9,LIVE,,referenced by 9 python ref(s)
molecular_results,BASE TABLE,10861,27,10861,False,False,,False,,False,0,True,25,LIVE,,referenced by 25 python ref(s)
molecular_test_episode_v2,BASE TABLE,10650,43,10026,False,False,,False,,False,0,True,92,LIVE,,referenced by 92 python ref(s)
molecular_testing,BASE TABLE,10861,11,10861,False,False,,False,,False,0,True,49,LIVE,,referenced by 49 python ref(s)
molecular_variant_long,BASE TABLE,1640,22,703,False,False,,False,,False,0,True,22,LIVE,,referenced by 22 python ref(s)
mri_imaging,BASE TABLE,715,41,462,False,False,,False,,False,0,True,36,LIVE,,referenced by 36 python ref(s)
note_entities_complications,BASE TABLE,9359,48,2840,False,False,,False,,False,0,True,45,LIVE,,referenced by 45 python ref(s)
note_entities_genetics,BASE TABLE,1738,48,605,False,False,,False,,False,0,True,46,LIVE,,referenced by 46 python ref(s)
note_entities_llm_airway_invasion,BASE TABLE,11037,23,5641,False,False,,False,,False,0,True,9,LIVE,,referenced by 9 python ref(s)
note_entities_llm_cervical_ln_detail,BASE TABLE,11037,23,5641,False,False,,False,,False,0,True,16,LIVE,,referenced by 16 python ref(s)
note_entities_llm_dynamic_risk_response,BASE TABLE,11037,23,5641,False,False,,False,,False,0,True,10,LIVE,,referenced by 10 python ref(s)
note_entities_llm_frozen_section_detail,BASE TABLE,11037,23,5641,False,False,,False,,False,0,True,8,LIVE,,referenced by 8 python ref(s)
note_entities_llm_functional_outcomes,BASE TABLE,11037,23,5641,False,False,,False,,False,0,True,9,LIVE,,referenced by 9 python ref(s)
note_entities_llm_imaging,BASE TABLE,11037,21,5641,False,False,,False,,False,0,True,12,LIVE,,referenced by 12 python ref(s)
note_entities_llm_labs,BASE TABLE,11037,21,5641,False,False,,False,,False,0,True,13,LIVE,,referenced by 13 python ref(s)
note_entities_llm_parathyroid_detail,BASE TABLE,11037,23,5641,False,False,,False,,False,0,True,8,LIVE,,referenced by 8 python ref(s)
note_entities_llm_past_medical_hx,BASE TABLE,11037,23,5641,False,False,,False,,False,0,True,13,LIVE,,referenced by 13 python ref(s)
note_entities_llm_past_surgical_hx,BASE TABLE,11037,23,5641,False,False,,False,,False,0,True,13,LIVE,,referenced by 13 python ref(s)
note_entities_llm_pathology,BASE TABLE,11037,21,5641,False,False,,False,,False,0,True,14,LIVE,,referenced by 14 python ref(s)
note_entities_llm_patient_decision_adherence,BASE TABLE,11037,23,5641,False,False,,False,,False,0,True,10,LIVE,,referenced by 10 python ref(s)
note_entities_llm_physical_exam,BASE TABLE,11037,21,5641,False,False,,False,,False,0,True,9,LIVE,,referenced by 9 python ref(s)
note_entities_llm_presenting_symptoms,BASE TABLE,11037,23,5641,False,False,,False,,False,0,True,12,LIVE,,referenced by 12 python ref(s)
note_entities_llm_rad_treatment,BASE TABLE,11037,23,5641,False,False,,False,,False,0,True,11,LIVE,,referenced by 11 python ref(s)
note_entities_llm_rai_detailed,BASE TABLE,11037,23,5641,False,False,,False,,False,0,True,9,LIVE,,referenced by 9 python ref(s)
note_entities_llm_recurrence,BASE TABLE,11037,23,5641,False,False,,False,,False,0,True,12,LIVE,,referenced by 12 python ref(s)
note_entities_llm_survival_followup,BASE TABLE,11037,23,5641,False,False,,False,,False,0,True,11,LIVE,,referenced by 11 python ref(s)
note_entities_llm_synoptic_pathology_enrichment,BASE TABLE,11037,23,5641,False,False,,False,,False,0,True,11,LIVE,,referenced by 11 python ref(s)
note_entities_llm_tg_kinetics,BASE TABLE,11037,23,5641,False,False,,False,,False,0,True,11,LIVE,,referenced by 11 python ref(s)
note_entities_llm_tirads_granular,BASE TABLE,11037,23,5641,False,False,,False,,False,0,True,13,LIVE,,referenced by 13 python ref(s)
note_entities_llm_us_nodule_dynamics,BASE TABLE,11037,23,5641,False,False,,False,,False,0,True,9,LIVE,,referenced by 9 python ref(s)
note_entities_llm_vascular_invasion,BASE TABLE,11037,23,5641,False,False,,False,,False,0,True,11,LIVE,,referenced by 11 python ref(s)
note_entities_medications,BASE TABLE,7501,48,2070,False,False,,False,,False,0,True,43,LIVE,,referenced by 43 python ref(s)
