analysis,numerator,denominator,rate_pct,ci_lo,ci_hi,level,definition,manuscript_safe,note
SAR readmissions for hypocalcemia (total Tx),19,1393,1.4,0.9,2.1,SAR_aggregate,Readmissions x ReadmFromHypo (SAR verified),True,RECOMMENDED if citing readmission-requiring hypocalcemia. Full 2010-2023.
SAR readmissions for hypocalcemia (all Tx),19,1818,1.0,0.7,1.6,SAR_aggregate,Readmissions x ReadmFromHypo (SAR verified),True,Including lobectomies. Full 2010-2023.
"Manuscript claim (surgery-level, INCORRECT)",57,763,7.5,5.8,9.6,surgery,NSQIP Case Details module hypo=Yes,False,Surgery-level denom (8 double-counts). Labeled clinically significant but is any postop hypo.
Case Details any postop hypo (patient-level),57,755,7.5,5.9,9.7,patient,NSQIP Case Details module hypo=Yes,True,Correct denominator but label must say any postop hypo NOT clinically significant.
Clinically significant (hypo AND event/IV),31,755,4.1,2.9,5.8,patient,Hypo=Yes AND (event=Yes OR IV=Yes),True,Best Case Details definition for clinically significant label.
Hypocalcemia-related event (any),33,689,4.8,3.4,6.6,patient,NSQIP Case Details event=Yes,True,"Includes ER visits, IV calcium, readmissions. Different denominator (event field)."
IV calcium supplementation event,17,755,2.3,1.4,3.6,patient,Event type contains IV calcium,True,Strictest intervention-requiring definition from Case Details.
Case Details readmit + hypo (SAR bridge),10,755,1.3,0.7,2.4,patient,Hypo=Yes AND readmit>0 (Case Details),True,Closest Case Details approximation of SAR readmission concept. Does not match 19 exactly.
Module-era only (2015-2023),32,607,5.3,3.8,7.3,patient,"NSQIP hypo=Yes, 2015+ only",True,Excludes rollout-era cases with potential ascertainment bias.
MISSINGNESS: TC cohort,320,1075,29.8,,,patient,Patients lacking hypo status (Case Details),,100% missing pre-2013; 0-7% post-2014. SAR has full 2010-2023 coverage.
