column_name,description,type,allowed_values,source_table_view_file,derivation_rule,used_in_analysis,which_analyses
research_id,Unique patient identifier (integer key),int64,3278 unique values,risk_enriched_mv / analytic_cohort_expanded.csv,Unique patient identifier (integer key),yes,All
patient_in_master_manuscript_cohort,"1 if patient is in the expanded PTC manuscript cohort (N=3,278)",int64,1,derived in forensics extraction,"1 if patient is in the expanded PTC manuscript cohort (N=3,278)",yes,Cohort definition
patient_in_primary_classic_cohort,1 if in primary classic-PTC analysis (N=596),int64,"0, 1",derived in forensics extraction,1 if in primary classic-PTC analysis (N=596),yes,Primary analysis (N=596)
patient_in_complete_case_ordinal_model,1 if non-missing on all ordinal model variables,int64,"0, 1",derived in forensics extraction,1 if non-missing on all ordinal model variables,yes,Ordinal regression
patient_in_psm_pool,"1 if eligible for PSM (mETE or NoETE, non-missing covariates)",int64,"0, 1",derived in forensics extraction,"1 if eligible for PSM (mETE or NoETE, non-missing covariates)",yes,PSM
patient_in_psm_matched_set,1 if selected in 1:1 nearest-neighbor PSM,int64,"0, 1",derived in forensics extraction,1 if selected in 1:1 nearest-neighbor PSM,yes,PSM matched DFS
patient_in_km_analysis,1 if DFS time > 0 (eligible for KM/Cox),int64,"0, 1",derived in forensics extraction,1 if DFS time > 0 (eligible for KM/Cox),yes,KM/Cox survival
patient_in_ct_timing_analysis,1 if has CT/imaging structural assessment data,int64,1,derived in forensics extraction,1 if has CT/imaging structural assessment data,yes,Structural endpoint
patient_in_stage_migration_analysis,1 if has both AJCC7 and AJCC8 stages,int64,"0, 1",derived in forensics extraction,1 if has both AJCC7 and AJCC8 stages,yes,Stage migration
patient_in_classic_variant_subgroup,1 if classic or unspecified PTC variant,int64,"0, 1",derived in forensics extraction,1 if classic or unspecified PTC variant,yes,Classic variant subgroup
patient_in_aggressive_variant_safety_group,1 if tall cell/columnar/hobnail/diffuse sclerosing/solid variant,int64,"0, 1",derived in forensics extraction,1 if tall cell/columnar/hobnail/diffuse sclerosing/solid variant,yes,Aggressive variant safety
age_at_surgery,Patient age at index surgery (years),float64,79 unique values,risk_enriched_mv / analytic_cohort_expanded.csv,Patient age at index surgery (years),yes,"Table 1, Ordinal, Cox, Interactions"
sex,Biological sex (Male/Female),object,"Female, Male",risk_enriched_mv / analytic_cohort_expanded.csv,Biological sex (Male/Female),yes,"Table 1, PSM covariate"
histologic_variant,Standardized histologic variant name,object,"Columnar cell, Cribriform-morular, Diffuse sclerosing, Follicular variant, Oncocytic/Warthin-like, Solid variant, Tall cell, unspecified",risk_enriched_mv / analytic_cohort_expanded.csv,Standardized histologic variant name,yes,"Subgroup, Table 1"
classic_variant_flag,1 if classic or unspecified PTC,int64,"0, 1",derived in forensics extraction,1 if classic or unspecified PTC,yes,Subgroup stratification
aggressive_variant_flag,1 if aggressive histologic variant,int64,"0, 1",derived in forensics extraction,1 if aggressive histologic variant,yes,Safety analysis
tumor_size_cm,Largest tumor dimension (cm),float64,122 unique values,risk_enriched_mv / analytic_cohort_expanded.csv,Largest tumor dimension (cm),yes,"Table 1, Interactions, Stratified models"
ete_category_raw,Raw extrathyroidal extension text from pathology,bool,"False, True",risk_enriched_mv / analytic_cohort_expanded.csv,Raw extrathyroidal extension text from pathology,yes,ETE classification source
ete_category_final,Final 3-level ETE classification: No ETE / Microscopic ETE / Gross ETE,object,"Gross ETE, Microscopic ETE, No ETE",risk_enriched_mv / analytic_cohort_expanded.csv,Final 3-level ETE classification: No ETE / Microscopic ETE / Gross ETE,yes,All analyses (primary exposure)
no_ete_flag,1 if no extrathyroidal extension,int64,"0, 1",derived in forensics extraction,1 if no extrathyroidal extension,yes,PSM reference group
mete_flag,1 if microscopic ETE (primary exposure),int64,"0, 1",derived in forensics extraction,1 if microscopic ETE (primary exposure),yes,"Primary exposure, all models"
