field_id,field_name,domain,canonical_metric,numerator,denominator,pct_available,limitation_type,limitation_source,why_computation_cannot_solve_it,analysis_allowed,methods_wording_prefix,safe_methods_sentence,safe_results_sentence,safe_limitations_sentence,verified_date,verified_source
SL-01,recurrence_event_date,RECURRENCE,exact_source_date,54,1986,2.7%,PROCESS_LIMITED,recurrence_risk_features_mv stores boolean recurrence_flag without associated calendar date; no structured recurrence registry exists in ehr,The recurrence flag is derived from a structured boolean field that does not carry a calendar date. Day-level date recovery would require chart abstraction of all 1986 recurrence-positive patients.,SENSITIVITY_ONLY,Recurrence dates,Recurrence events were classified using a structured composite flag (recurrence_risk_features_mv); calendar dates were available for 222/1986 recurrence-positive patients (54 exact + 168 biochemical inflection). The remaining 1764 patients (88.8%) had a confirmed recurrence event but no recoverable calendar date from available data sources.,Recurrence was documented in 1986 of 10871 patients (18.3%). A calendar date for the recurrence event was available in 222 patients (11.2%): 54 with an exact source date and 168 with a biochemical inflection date. Kaplan-Meier analyses incorporating time-to-recurrence were limited to these 222 patients.,The absence of a structured recurrence date registry limits time-to-event analyses to a minority of recurrence-positive patients. The primary recurrence endpoint is binary (recurrence yes/no); survival analyses treating recurrence as a timed endpoint carry selection bias risk.,2026-03-14,MotherDuck:extracted_recurrence_refined_v1
SL-02,rai_administered_dose_mci,RAI_TREATMENT,dose_available,761,1857,41.0%,SOURCE_LIMITED,nuclear medicine treatment records and dispensing logs are not present in the clinical_notes_long corpus; structured rai_treatment_episode_v2 captures receipt but not dose for 59% of treated patients,RAI dose was documented in only 41% of treated episodes because nuclear medicine dispensing records were not electronically linked to the research database. NLP recovery is capped by the absence of endocrine note dose documentation for most patients.,SENSITIVITY_ONLY,RAI dose,Radioactive iodine (RAI) dose (mCi) was available from NLP extraction of endocrine notes and discharge summaries for 761/1857 RAI treatment episodes (41.0%). Nuclear medicine dispensing records were not available in the source corpus; accordingly dose analyses are restricted to the available subset with appropriate missingness notation.,RAI was administered in 862 patients; dose documentation was available for 761 treatment episodes (41.0%; median dose 142 mCi where available). Among the subset with dose data...,RAI dose was unrecoverable for 59% of treated patients because nuclear medicine administration records were not included in the research corpus. Published dose norms were used for context but not imputed.,2026-03-14,MotherDuck:rai_treatment_episode_v2
SL-03,pth_collection_date,NON_TG_LABS,date_coverage_pct,139,797,17.4%,SOURCE_LIMITED,pth values were extracted via nlp from note free text; nlp extraction does not yield structured laboratory accession dates; only clinical_notes_long note_date is available,PTH collection date cannot be recovered computationally: the values were parsed from free-text note bodies where no machine-readable accession/collection date was embedded. Achieving temporal precision requires institutional laboratory data extract.,DESCRIPTIVE_ONLY,PTH labs,Postoperative parathyroid hormone (PTH) values were extracted from 797 patients via natural language processing of clinical notes (primarily endocrine and discharge notes). A laboratory collection date was available for 139 patients (17.4%) via structured sources; the remaining values carry only note-level date resolution (±14 days). PTH was used for descriptive characterisation of hypocalcaemia and hypoparathyroidism; it was not used as a time-to-event endpoint.,PTH was available in 797 patients (7.3% of cohort); temporal precision was limited (collection date available in 17.4% of PTH-positive patients). Postoperative nadir PTH was below 15 pg/mL in 11 patients.,Postoperative PTH values were extracted from clinical notes and lack laboratory-grade temporal precision for the majority of patients. Analyses requiring PTH as a timed endpoint were not performed.,2026-03-14,MotherDuck:longitudinal_lab_canonical_v1
SL-04,calcium_collection_date,NON_TG_LABS,date_coverage_pct,69,598,11.5%,SOURCE_LIMITED,calcium values were extracted via nlp from note free text; same limitation as pth; institutional calcium lab table not available,Calcium collection dates cannot be computed from available sources. The electronic institutional laboratory extract covering calcium was not incorporated.,DESCRIPTIVE_ONLY,Calcium labs,Total serum calcium was available from NLP extraction for 598 patients (5.5% of cohort). Laboratory collection dates were confirmed for 69 patients (11.5%); the remainder carry note-date precision only. Calcium was used solely for descriptive characterisation of biochemical hypocalcaemia and was not used as a timed endpoint.,Postoperative calcium was documented in 598 patients; collection date was confirmable for 11.5%. Hypocalcaemia (Ca <8.0 mg/dL) was identified in 5 patients.,Calcium temporal coverage is insufficient for postoperative-day–level analyses. An institutional laboratory data feed would be required to support these analyses.,2026-03-14,MotherDuck:longitudinal_lab_canonical_v1
SL-05,tsh_free_t4_any_thyroid_function,NON_TG_LABS,patient_count,0,10871,0.0%,SOURCE_LIMITED,tsh and free_t4 measurements are not present as a derived table in the research database; lab results are not captured in any of the 8 raw excel source files,TSH/free_T4 data does not exist in any exploited source. Additional computation on existing tables cannot create this data; institutional EHR lab extraction would be required.,NOT_ALLOWED,TSH/T4/T3,Thyroid stimulating hormone (TSH) and thyroid hormone levels were not available in the research data sources. These values were accordingly not included in primary or sensitivity analyses.,TSH and thyroid hormone measurements were not available in the research database and were not reported.,Thyroid function tests (TSH free T4 free T3) are absent from the available data sources. Their incorporation would require a structured institutional laboratory data extract.,2026-03-14,MotherDuck:val_lab_temporal_truth_v1
SL-06,nuclear_medicine_notes,RAI_TREATMENT,note_count_in_corpus,0,0,0.0%,SOURCE_LIMITED,clinical_notes_long contains 8 note types (op_note h_p endocrine_note ed_note history_summary dc_sum other_notes other_history); nuclear medicine consultation notes and scan reports are not in this corpus,Zero nuclear medicine notes are present in the corpus. The note extraction pipeline cannot parse data that was never ingested. Nuclear medicine reporting systems were not linked to the research data extract.,NOT_ALLOWED (as NLP source),Nuclear medicine notes,"Nuclear medicine reports including I-131 dosimetry and diagnostic whole-body scan findings were not available in the clinical note corpus. RAI receipt was inferred from structured and NLP sources within endocrine and discharge notes.",Nuclear medicine scan reports were absent from the clinical notes corpus. RAI dose and diagnostic scan results could not be extracted from dedicated nuclear medicine documentation.,The absence of nuclear medicine reports from the source corpus is a primary structural limitation for RAI characterisation. RAI dose and scan findings were estimated from endocrine and discharge notes only.,2026-03-14,MotherDuck:clinical_notes_long COUNT DISTINCT note_type
SL-07,vascular_invasion_grade_who2022,PATHOLOGY,graded_fraction,819,5570,14.7%,TEMPLATE_LIMITED,"path_synoptics synoptic template marks vascular invasion as 'x' (present) without vessel count or focal/extensive sub-field; 4652/5570 (83.5%) positive cases carry only ""present_ungraded""",The present_ungraded category reflects a synoptic template limitation: the source pathology reporting form did not require vessel count at time of sign-out. Computational re-grading requires individual pathology report free-text review by a pathologist for 4652 cases.,DESCRIPTIVE_ONLY,Vascular invasion grading,Vascular invasion was recorded in 5570 patients (51.3% of cohort). WHO 2022 grading (focal <4 vessels; extensive ≥4 vessels) was determinable in 819 patients (14.7% of vascular-invasion-positive cases): 463 focal and 356 extensive. The remaining 4652 positive cases (83.5%) were recorded as present but ungraded because the source synoptic pathology template did not capture vessel count.,Vascular invasion was present in 5570 patients (51.3%); WHO 2022 sub-grade was available in 819 vascular-positive patients (14.7%): focal in 463 and extensive in 356. The majority (83.5%) carried a present-ungraded designation consistent with the synoptic template used during the study period.,WHO 2022 vascular invasion grading was not uniformly ascertainable because the institutional synoptic pathology template did not mandate vessel count documentation. Graded analyses were restricted to the 14.7% with quantified vessel counts.,2026-03-14,MotherDuck:patient_refined_master_clinical_v12
SL-08,operative_esophageal_involvement,OPERATIVE,"esophageal_involvement_flag=TRUE in operative_episode_detail_v2",0,9371,0.0%,PIPELINE_LIMITED,the entity type esophageal_involvement is not in the note_entities_procedures nlp vocabulary; operative episode v2 reports 0 cases because no entity was ever extracted,Adding the esophageal_involvement entity to the NLP vocabulary and re-running extraction would yield estimates from operative notes. However this would require vocabulary expansion and re-extraction rather than recomputation from existing fields. Currently 0 values are NOT confirmed negatives — they are unparsed.,DESCRIPTIVE_ONLY (after re-extraction),Esophageal operative findings,"Esophageal involvement during thyroidectomy was not reliably captured by the NLP extraction pipeline, as this entity was absent from the procedure entity vocabulary. The field is not interpretable as 0% prevalence; analyses requiring esophageal involvement were not performed.",Esophageal involvement could not be ascertained from the available extraction pipeline. This field was excluded from primary and sensitivity analyses.,The operative NLP extraction pipeline did not include esophageal involvement in its entity vocabulary during the study period. The zero count reflects an unextracted field not a confirmed clinical finding.,2026-03-14,MotherDuck:operative_episode_detail_v2
SL-09,operative_berry_ligament_flag,OPERATIVE,entity_in_nlp_vocabulary,0,9371,0.0%,PIPELINE_LIMITED,berry_ligament entity not in note_entities_procedures vocabulary; same as esophageal: zero values are NOT confirmed negatives,Same as SL-08: entity vocabulary gap. Cannot be solved by recomputation from existing tables.,MANUAL_REVIEW_ONLY,Berry ligament ligation,Berry ligament management was not ascertainable from the available extraction pipeline; this entity was absent from the operative procedure vocabulary.,Berry ligament data was not available from NLP extraction and was not reported.,Operative NLP entity vocabulary did not include berry ligament. This field was not analysed.,2026-03-14,MotherDuck:operative_episode_detail_v2
SL-10,operative_frozen_section_flag,OPERATIVE,entity_in_nlp_vocabulary,0,9371,0.0%,PIPELINE_LIMITED,frozen_section_flag entity not in note_entities_procedures vocabulary,Same as SL-08. Cannot be solved by recomputation.,MANUAL_REVIEW_ONLY,Intraoperative frozen section,Intraoperative frozen section use was not captured by the operative NLP pipeline (entity vocabulary absent). This field was not reported.,Frozen section data was not ascertained from available sources and was not reported.,Intraoperative frozen section utilisation was not extractable from existing NLP vocabulary.,2026-03-14,MotherDuck:operative_episode_detail_v2
