metric_name,sql_query,source_table,expected_row_count,execution_notes
total_surgical_patients,COUNT(DISTINCT research_id) FROM path_synoptics,path_synoptics,10871,All patients with at least one path_synoptics row (primary surgical spine)
analysis_eligible_cancer_patients,COUNT(DISTINCT research_id) FROM patient_analysis_resolved_v1 WHERE analysis_eligible_flag IS TRUE,patient_analysis_resolved_v1,4136,"Patients with cancer histology + complete staging data sufficient for analysis. Excludes benign-only, missing histology, and non-thyroid malignancy."
recurrence_count_any,COUNT(DISTINCT research_id) FROM extracted_recurrence_refined_v1 WHERE recurrence_any IS TRUE,extracted_recurrence_refined_v1,1986,"All recurrence events (structural confirmed=54, structural date unknown=1764, biochemical only=168). Includes patients identified via Tg trajectory (rising Tg >1.0 and >2x nadir)."
recurrence_count_structural,"detection_category IN ('structural_confirmed','structural_date_unknown')",extracted_recurrence_refined_v1,1818,"Structural recurrence only. confirmed=54, date_unknown=1764. Matches recurrence_risk_features_mv.recurrence_flag count (1818)."
braf_positive_count,COUNT(DISTINCT research_id) FROM extracted_braf_recovery_v1 WHERE braf_status = 'positive',extracted_braf_recovery_v1,376,BRAF positive after FP correction (structured + NLP-confirmed). Structured-only count: 266. NLP-recovered: 110. All NLP positives require explicit positive qualifier in note text.
ras_positive_count,COUNT(DISTINCT research_id) FROM extracted_ras_patient_summary_v1 WHERE ras_positive IS TRUE,extracted_ras_patient_summary_v1,292,RAS positive (NRAS+HRAS+KRAS) from subtypes extraction + mutation text parsing + NLP-confirmed entities. ras_flag in mol_ep is FALSE for all rows (known bug); use extracted_ras_patient_summary_v1 exclusively.
molecular_tested_denominator,COUNT(DISTINCT research_id) FROM extracted_molecular_panel_v1,extracted_molecular_panel_v1,10025,"Patients with any molecular panel result in extracted_molecular_panel_v1. Includes ThyroSeq, Afirma, IHC, PCR, FISH."
rai_treated_strict,rai_validation_tier = 'confirmed_with_dose' FROM extracted_rai_validated_v1,extracted_rai_validated_v1,35,STRICT definition: confirmed RAI receipt with documented dose. rai_assertion_status='likely_received' AND dose present. NOTE: 0 patients have 'definite_received' in rai_treatment_episode_v2; all 35 confirmed patients are 'likely_received' with dose verification.
rln_injury_confirmed,COUNT(DISTINCT research_id) FROM extracted_rln_injury_refined_v2 WHERE rln_injury_is_confirmed IS TRUE,extracted_rln_injury_refined_v2,59,"3-tier refined RLN injury: Tier 1 (laryngoscopy-confirmed), Tier 2 (chart-documented), Tier 3 (NLP-confirmed with context filtering). Total refined: 92 (confirmed=59, suspected=33)."
complication_any_confirmed,COUNT(DISTINCT research_id) FROM patient_refined_complication_flags_v2,patient_refined_complication_flags_v2,287,Patients with at least one confirmed complication after NLP refinement. Per-entity: rln_injury=59; hematoma=38; hypoparathyroidism=34; seroma=28; chyle_leak=20; hypocalcemia=18; wound_infection=2. Sum of per-entity exceeds total because patients can have multiple complications.
tirads_coverage,COUNT(DISTINCT research_id) FROM extracted_tirads_validated_v1,extracted_tirads_validated_v1,3474,Patients with validated TIRADS score from Phase 12 Excel ingestion + NLP + ACR recalculation. Data ceiling reached — remaining patients either lack pre-op US in system or had US at external facilities.
